magnitude,depth,distance,vs30,azimuth,mmi,event_id
4.3,10.9,267.9299193579558,403.0,137.81683945057057,2.6,us6000sn3a
4.3,10.9,169.42502094174858,253.1,284.73836803927696,3.0,us6000sn3a
4.3,10.9,80.80088967306925,438.9,195.74766145338518,3.3,us6000sn3a
4.3,10.9,211.94314477971773,448.6,323.11540446471395,2.8,us6000sn3a
4.3,10.9,179.18274327198955,338.5,156.77176416866496,3.0,us6000sn3a
4.3,10.9,173.57793439073262,314.0,295.7509350199455,3.0,us6000sn3a
4.3,10.9,150.35492793560107,302.6,157.3761917085858,3.1,us6000sn3a
4.3,10.9,210.76455884691217,417.3,152.33870663175162,2.8,us6000sn3a
4.3,10.9,225.7667034755221,385.8,141.98087737463248,2.7,us6000sn3a
4.3,10.9,57.29533374859409,319.8,41.75952166759885,3.5,us6000sn3a
4.3,10.9,175.07999752999274,288.7,51.320930035683716,3.0,us6000sn3a
4.3,10.9,36.24070623421502,499.6,247.6199758381413,3.7,us6000sn3a
4.3,10.9,155.61345273739946,415.5,10.556751452643539,3.0,us6000sn3a
4.3,10.9,251.35365000198067,382.2,220.4011867208832,2.7,us6000sn3a
4.3,10.9,171.79468028595534,249.4,90.41768486538058,3.0,us6000sn3a
4.3,10.9,113.27546481813464,627.0,188.36240479303294,3.1,us6000sn3a
4.3,10.9,214.0627268591025,444.4,332.3347362079765,2.8,us6000sn3a
4.3,10.9,129.74366552643482,437.8,230.84231042831053,3.1,us6000sn3a
4.3,10.9,47.17500697752948,573.9,226.7356692269122,3.5,us6000sn3a
4.3,10.9,110.14533834267783,412.6,246.49752871492163,3.2,us6000sn3a
4.3,10.9,210.6368185536594,545.8,307.882820025806,2.7,us6000sn3a
4.3,10.9,155.57590096389043,283.8,257.3691149719049,3.1,us6000sn3a
4.3,10.9,253.74264509271708,263.2,130.54195774946942,2.7,us6000sn3a
4.3,10.9,143.48610518494488,464.0,221.21889561314742,3.0,us6000sn3a
4.3,10.9,197.5367952936683,330.0,158.0062368343887,2.9,us6000sn3a
4.3,10.9,216.22358881112243,298.7,33.82217938400555,2.8,us6000sn3a
4.3,10.9,175.40322202081404,260.0,189.0818385186397,3.0,us6000sn3a
4.3,10.9,272.85192900656705,228.1,43.38012014244691,2.6,us6000sn3a
4.3,10.9,124.6252627751117,258.0,72.77727056584666,3.2,us6000sn3a
4.3,10.9,99.19837380210485,336.3,228.69800255007843,3.3,us6000sn3a
4.3,10.9,189.85059050048915,254.4,103.87280564849056,2.9,us6000sn3a
4.3,10.9,249.02037131286178,351.6,40.44904364196498,2.7,us6000sn3a
4.3,10.9,117.63310080858005,313.7,94.61376369085303,3.2,us6000sn3a
4.3,10.9,196.2813259443428,229.4,243.86742811503387,2.9,us6000sn3a
4.3,10.9,145.0231109625653,286.0,264.93304679914894,3.1,us6000sn3a
4.3,10.9,125.76005787210765,646.3,274.18435142890183,3.0,us6000sn3a
4.3,10.9,74.63659835595601,383.9,151.65363425000857,3.4,us6000sn3a
4.3,10.9,200.07046327805924,287.2,18.073055607168442,2.9,us6000sn3a
4.3,10.9,193.80336472155255,268.9,132.71678106314187,2.9,us6000sn3a
4.3,10.9,121.02743440621765,501.0,344.9027433523576,3.1,us6000sn3a
4.3,10.9,192.80809307313558,232.4,143.97421304546532,2.9,us6000sn3a
4.3,10.9,199.05267790903588,334.5,88.61350810362421,2.9,us6000sn3a
4.3,10.9,147.06984096728743,321.3,98.26196434177558,3.1,us6000sn3a
4.3,10.9,107.74268727632304,681.5,287.83601034813137,3.1,us6000sn3a
4.3,10.9,213.44605449588062,470.8,308.87605129704497,2.8,us6000sn3a
4.3,10.9,162.39412373135036,672.8,310.105226762396,2.9,us6000sn3a
4.3,10.9,189.09482867212074,311.2,40.62376759717142,2.9,us6000sn3a
4.3,10.9,46.60495187453203,303.3,138.9080436170102,3.7,us6000sn3a
4.3,10.9,117.92834947109718,350.9,16.379872013300144,3.2,us6000sn3a
4.3,10.9,222.79397262719533,286.6,316.4823271813958,2.8,us6000sn3a
4.3,10.9,211.64243440212297,201.4,241.46372201705884,2.8,us6000sn3a
4.3,10.9,52.13097235978347,364.7,133.7100115028221,3.6,us6000sn3a
4.3,10.9,184.75808458094727,428.6,173.05610464049232,2.9,us6000sn3a
4.3,10.9,228.47743687586433,297.5,51.69557794909889,2.8,us6000sn3a
